alert_id,asset_id,date,event_time
XGo0nQHCZzR,23EOWVe,2019-06-16T00:00:00.000+03:00,09:49:19
XGo0nQHCZzR,6qIJC7R,2019-06-16T00:00:00.000+03:00,09:49:19
XGo0nQHCZzR,nTxy7lO,2019-06-16T00:00:00.000+03:00,09:49:19
S2byDm68oNU,yX3zmwh,2019-06-17T00:00:00.000+03:00,09:04:18
S2byDm68oNU,uBwVGky,2019-06-17T00:00:00.000+03:00,09:04:18
W03mt1Aibkm,9XSEE9j,2019-06-11T00:00:00.000+03:00,16:10:43
W03mt1Aibkm,fUFO9bL,2019-06-11T00:00:00.000+03:00,16:10:43
W03mt1Aibkm,fsRA8nV,2019-06-11T00:00:00.000+03:00,16:10:43
W03mt1Aibkm,MkqHtrQ,2019-06-11T00:00:00.000+03:00,16:10:43
YgCI2UmvDhe,PG9M2zW,2019-06-17T00:00:00.000+03:00,10:38:41
YgCI2UmvDhe,56N9LN5,2019-06-17T00:00:00.000+03:00,10:38:41
lxQRbsBwMR0,XIHl90A,2019-06-11T00:00:00.000+03:00,01:20:49
lxQRbsBwMR0,wNYsEKh,2019-06-11T00:00:00.000+03:00,01:20:49
lxQRbsBwMR0,CuminO4,2019-06-11T00:00:00.000+03:00,01:20:49
lxQRbsBwMR0,QGNbv5b,2019-06-11T00:00:00.000+03:00,01:20:49
lxQRbsBwMR0,k6yILm1,2019-06-11T00:00:00.000+03:00,01:20:49
Hn3BVO7oeXP,odM8xoj,2019-06-14T00:00:00.000+03:00,10:21:04
Hn3BVO7oeXP,K0q4LwK,2019-06-14T00:00:00.000+03:00,10:21:04
Hn3BVO7oeXP,3zb9EtA,2019-06-14T00:00:00.000+03:00,10:21:04
Hn3BVO7oeXP,To0yr8A,2019-06-14T00:00:00.000+03:00,10:21:04
Hn3BVO7oeXP,jA4XWPU,2019-06-14T00:00:00.000+03:00,10:21:04
KdVKuoubHtU,J0g88Cq,2019-06-15T00:00:00.000+03:00,02:38:27
KdVKuoubHtU,Bg6OsEC,2019-06-15T00:00:00.000+03:00,02:38:27
KdVKuoubHtU,NR15suz,2019-06-15T00:00:00.000+03:00,02:38:27
KdVKuoubHtU,SngTmnl,2019-06-15T00:00:00.000+03:00,02:38:27
h4MLSFigPQ4,68R6FPd,2019-06-17T00:00:00.000+03:00,09:03:41
h4MLSFigPQ4,XHwc13h,2019-06-17T00:00:00.000+03:00,09:03:41
h4MLSFigPQ4,u40Zzf0,2019-06-17T00:00:00.000+03:00,09:03:41
h4MLSFigPQ4,DSgIWwI,2019-06-17T00:00:00.000+03:00,09:03:41
O9zC9Tx6eJv,ltDed2r,2019-06-12T00:00:00.000+03:00,02:12:39
nU9qAdROmHP,llX5pOK,2019-06-17T00:00:00.000+03:00,18:06:22
nU9qAdROmHP,OJknsfy,2019-06-17T00:00:00.000+03:00,18:06:22
nU9qAdROmHP,kXq0JOZ,2019-06-17T00:00:00.000+03:00,18:06:22
nU9qAdROmHP,KCCjTZN,2019-06-17T00:00:00.000+03:00,18:06:22
nU9qAdROmHP,KHXiQzg,2019-06-17T00:00:00.000+03:00,18:06:22
wNDjFPdOejC,iAx6jvz,2019-06-12T00:00:00.000+03:00,05:18:36
